"cluster","covariates","code_loc"
"SAM1","COVSAM1","SAM"
"SAM2","COVSAM2","SAM"
"SAM3","COVSAM1","SAM"
"SAM4","COVSAM3","SAM"
"SAM5","COVSAM3","SAM"
"SAM6","COVSAM4","SAM"
"SAM7","COVSAM3","SAM"
"SAM8","COVSAM3","SAM"
"SAM9","COVSAM3","SAM"
"KAR1","COVKAR1","KAR"
"KAR2","COVKAR2","KAR"
"KAR3","COVKAR1","KAR"
"KAR4","COVKAR3","KAR"
"KAR5","COVKAR3","KAR"
"KAR6","COVKAR4","KAR"
"KAR7","COVKAR3","KAR"
"KAR8","COVKAR3","KAR"
"KAR9","COVKAR3","KAR"
"KGA1","COVKGA1","KGA"
"KGA2","COVKGA2","KGA"
"KGA3","COVKGA2","KGA"
"KGA4","COVKGA3","KGA"
"KGA5","COVKGA2","KGA"
"KGA6","COVKGA3","KGA"
"KGA7","COVKGA4","KGA"
"KGA8","COVKGA5","KGA"
"KGA9","COVKGA3","KGA"
"KGA10","COVKGA3","KGA"
"KGA11","COVKGA5","KGA"
"MAD1","COVMAD1","MAD"
"MAD2","COVMAD1","MAD"
"MAD3","COVMAD1","MAD"
"MAD4","COVMAD1","MAD"
"MAD5","COVMAD1","MAD"
"MAD6","COVMAD2","MAD"
"MAD7","COVMAD3","MAD"
"MAD8","COVMAD2","MAD"
"MAD9","COVMAD3","MAD"
"MAD10","COVMAD2","MAD"
"MAD11","COVMAD3","MAD"
"MAD12","COVMAD3","MAD"
"MAD13","COVMAD4","MAD"
"MAD14","COVMAD4","MAD"
"MAD15","COVMAD4","MAD"
"MAD16","COVMAD3","MAD"
"MAD17","COVMAD4","MAD"
"MAD18","COVMAD4","MAD"
"MAD19","COVMAD4","MAD"
"MAD20","COVMAD3","MAD"
"MAD21","COVMAD3","MAD"
"MAD22","COVMAD3","MAD"
"MAD23","COVMAD3","MAD"
"MTZ1","COVMTZ1","MTZ"
"MTZ2","COVMTZ1","MTZ"
"MTZ3","COVMTZ2","MTZ"
"MTZ4","COVMTZ2","MTZ"
"MTZ5","COVMTZ3","MTZ"
"MTZ6","COVMTZ2","MTZ"
"MTZ7","COVMTZ1","MTZ"
"MTZ8","COVMTZ1","MTZ"
"MTZ9","COVMTZ4","MTZ"
"PLN1","COVPLN1","PLN"
"PLN2","COVPLN1","PLN"
"PLN3","COVPLN2","PLN"
"PLN4","COVPLN3","PLN"
"PLN5","COVPLN4","PLN"
"PLN6","COVPLN4","PLN"
"PLN7","COVPLN4","PLN"
"PLN8","COVPLN4","PLN"
"PLN9","COVPLN4","PLN"
"PLN10","COVPLN5","PLN"
"PLN11","COVPLN4","PLN"
"PLN12","COVPLN4","PLN"
"PLN13","COVPLN4","PLN"
"PLN14","COVPLN5","PLN"
"PLN15","COVPLN5","PLN"
